,Product,ihs_match
911,FT PRODUCTS,FISCHER TROPSCH PRODUCTS BY SHENHUA COAL BASED PROCESS
912,FT PRODUCTS,FISCHER TROPSCH PRODUCTS BY YITAI COAL BASED PROCESS
915,"FUEL OIL, LOW SULFUR","FUEL OIL, LOW SULFUR FROM VACUUM GAS OIL BY MODERATE PRESSURE HYDROCRACKING"
916,FURNACE PHOSPHORUS,FURNACE PHOSPHORUS PRODUCTION PROCESS
920,"GAS OIL, LOW SULFUR","GAS OIL, VACUUM, LOW SULFUR, FOR FCC FEED BY HYDROTREATING VACUUM GAS OIL"
921,GASOLINE,GASOLINE FROM CONVENTIONAL FCC
922,GASOLINE,GASOLINE FROM NATURAL GAS BY OXIDATIVE COUPLING AND OLEFIN OLIGOMERIZATION
923,GASOLINE,GASOLINE FROM NATURAL GAS BY THE ICI METHANOL-MOBIL MTG PROCESS
924,GASOLINE,GASOLINE FROM NATURAL GAS VIA HALDOR TOPSOE ADVANCED TIGAS PROCESS
925,GASOLINE,METHAFORMING OF NAPHTHA PROCESS
926,GASOLINE,METHANOL TO GASOLINE BY THE EXXONMOBIL MTG PROCESS
927,GASOLINE ALKYLATE,GASOLINE ALKYLATE BY WELL RESOURCES IONIKYLATION PROCESS
928,GASOLINE ALKYLATE,GASOLINE ALKLYLATE FROM ETHYLENE BY NEXT WAVE ENERGY
929,GASOLINE ALKYLATE,GASOLINE ALKYLATE BY CDALKY ALKYLATION PROCESS BY MCDERMOTT
930,GASOLINE ALKYLATE,GASOLINE ALKYLATE FROM BUTENES FEED BY THE HALDOR TOPSOE PROCESS
931,GASOLINE ALKYLATE,GASOLINE ALKYLATE BY ISOALKY ALKYLATION PROCESS BY CHEVRON/UOP
932,GASOLINE ALKYLATE,GASOLINE ALKYLATE BY STRATCO ALKYLATION PROCESS BY DUPONT
933,GASOLINE ALKYLATE,"GASOLINE ALKYLATE FROM BUTENES FEED, SOLID ACID CATALYST"
934,GASOLINE ALKYLATE,"GASOLINE ALKYLATE FROM PROPYLENE-BUTENES FEED, HF CATALYZED"
935,GASOLINE ALKYLATE,GASOLINE ALKYLATE VIA ALKYLENE(TM) PROCESS- SOLID ACID SYSTEM
936,GASOLINE ALKYLATE,GASOLINE ALKYLATE VIA C5 ALKYLATION
937,GASOLINE ALKYLATE,"GASOLINE ALKYLATE FROM BUTENES FEED, SULFURIC ACID CATALYZED"
938,GASOLINE ISOMERATE,ALKYCLEAN™ PROCESS FOR C4 ALKYLATION BY CB&I/ALBEMARLE/NESTE
939,GASOLINE ISOMERATE,GASOLINE ISOMERATE (88 RON) BY C5/C6 ISOMERIZATION
940,GASOLINE ISOMERATE,GASOLINE ISOMERATE BY MAX-ISOM TECHNOLOGY
941,GASOLINE ISOMERATE,GASOLINE ISOMERATE FROM LIGHT STRAIGHT RUN NAPHTHA
942,GASOLINE ISOMERATE,ISOMALK-4™ PROCESS FOR C7 PARAFFINS ISOMERIZATION BY GTC/NEFTEHIM
943,GASOLINE ISOMERATE,JSC SIE NEFTEHIM ISOMALK-2™ ISOMERIZATION PROCESS
944,"GASOLINE OCTANE, PROPYLENE DIMATE","GASOLINE OCTANE IMPROVER FROM A C3 STREAM, PROPYLENE DIMATE"
945,GASOLINE REFORMATE,GASOLINE REFORMATE FROM AROMATICS EXTRACTION RAFFINATE USING ZEOLITE CATALYST
946,GASOLINE REFORMATE,GASOLINE REFORMATE BY CONTINUOUS CATALYST REGENERATION PROCESS OF WHOLE NAPHTHA
947,GASOLINE REFORMATE,GASOLINE REFORMATE (95 RONC) FROM PARAFFINIC NAPHTHA (93-155)
948,GASOLINE REFORMATE,GASOLINE REFORMATE BY CONTINUOUS CATALYST REGENERATION PROCESS OF HEAVY NAPHTHA
949,GASOLINE REFORMATE,GASOLINE REFORMATE (102 RONC) FROM PREFRACTIONATED PARAFFINIC NAPHTHA (108-163)
950,GASOLINE REFORMATE,GASOLINE REFORMATE (95 RONC) FROM NAPHTHENIC NAPHTHA (88-161)
951,GASOLINE REFORMATE,GASOLINE REFORMATE (102 RONC) FROM PARAFFINIC NAPHTHA (93-155)
952,GASOLINE REFORMATE,GASOLINE REFORMATE (102 RONC) FROM NAPHTHENIC NAPHTHA (88-161)
953,GASOLINE REFORMATE,GASOLINE REFORMATE (102 RONC) FROM PREFRACTIONATED NAPHTHENIC NAPHTHA (112-177)
954,"GASOLINE, ETHERIFIED","GASOLINE, ETHERIFIED, AT 91.4 (R+M)/2 FROM C4S AND LIGHT GASOLINE"
955,"GASOLINE, FCC","GASOLINE, FCC, AT 88.0 (R+M)/2, 6.4 RVP FROM ARAB LIGHT 343-566 VACUUM GAS OIL"
956,"GASOLINE, FCC","GASOLINE, FCC FROM ATMOSPHERIC RESIDUE BY CATALYTIC CRACKING"
957,"GASOLINE, FCC","GASOLINE, FCC, AT 85.9 (R+M)/2, 6.4 RVP FROM ARAB LIGHT 343-566 VACUUM GAS OIL"
958,"GASOLINE, FCC","GASOLINE, FCC, AT 86.3 (R+M)/2, 6.4 RVP FROM ARAB LIGHT 343+ ATMOSPHERIC RESID"
959,GLUCOSE,SUGARS FROM CORN VIA WET MILLING
962,GLYCERIN,GLYCERIN FROM PROPYLENE AND CHLORINE VIA ALLYL CHLORIDE AND EPICHLOROHYDRIN
963,GLYCERIN,GLYCERIN FROM ALLYL CHLORIDE VIA EPICHLOROHYDRIN
965,GLYPHOSATE IPA SALT,GLYPHOSATE ISOPROPYLAMINE SALT FROM DIETHANOLAMINE
966,"GRAPHITE FIBER, PAN-BASED","GRAPHITE FIBER, PAN-BASED FROM PAN-BASED CARBON FIBER"
967,"GRAPHITE FIBER, PITCH-BASED","GRAPHITE FIBER, PITCH-BASED FROM OXIDIZED PITCH FIBER"
968,GREEN COKE,GREEN COKE FROM VACUUM RESID BY DELAYED COKING
969,GTL PRODUCTS,LARGE-SCALE GTL PLANT - SASOL PROCESS
970,GTL PRODUCTS,LARGE-SCALE GTL PLANT - SHELL PROCESS
971,HCFC-141B,"1,1-DICHLORO-1-FLUOROETHANE (HCFC-141B) BY HYDROFLUORINATION OF METHYL CHLOROFORM"
972,HCFC-142B,CHLORODIFLUOROETHANE (HCFC-142B) FROM METHYL CHLOROFORM
973,HCFC-22,DIFLUOROCHLOROMETHANE (HCFC-22) FROM ANHYDROUS HF AND CHLOROFORM
975,HEXAFLUOROPROPYLENE,HEXAFLUOROPROPYLENE FROM TETRAFLUOROETHYLENE
976,HEXAFLUOROPROPYLENE OXIDE,HEXAFLUOROPROPYLENE OXIDE (HDI) BY A BIPHASIC PROCESS
977,HEXAMETHYLENE DIISOCYANATE,HEXAMETHYLENE DIISOCYANATE (HDI) FROM HEXAMETHYLENEDIAMINE BY NON-PHOSGENATION
978,HEXAMETHYLENE DIISOCYANATE,HEXAMETHYLENE DIISOCYANATE (HDI) FROM HEXAMETHYLENEDIAMINE BY PHOSGENATION
979,HEXAMETHYLENEDIAMINE,HEXAMETHYLENEDIAMINE FROM BUTADIENE VIA ADIPONITRILE BY HYDROCYANATION
980,HEXAMETHYLENEDIAMINE,HEXAMETHYLENEDIAMINE FROM ACRYLONITRILE BY ELECTROHYDRODIMERIZATION IN UNDIVIDED CELLS(EMULSION)
981,HEXAMETHYLENEDIAMINE,HEXAMETHYLENEDIAMINE FROM ACRYLONITRILE VIA ADIPONITRILE BY ELECTROHYDRODIMERIZATION
982,HEXAMETHYLENEDIAMINE,HEXAMETHYLENEDIAMINE FROM ADIPIC ACID VIA ADIPONITRILE BY AMMONIATION AND HYDROGENATION
983,HEXAMETHYLENEDIAMINE,"HEXAMETHYLENEDIAMINE FROM BUTADIENE VIA DICHLOROBUTENE, DICYANOBUTENE, AND ADN"
984,HEXAMETHYLENEDIAMINE,HEXAMETHYLENEDIAMINE FROM ACRYLONITRILE BY ELECTROHYDRODIMERIZATION IN MEMBRANE CELLS(SOLUTION)
985,HEXAMETHYLENEDIAMINE,HMDA FROM BUTADIENE VIA INVISTA HYDROCYANATION
986,HEXAMETHYLENEDIAMINE,HMDA FROM HFCS VIA RENNOVIA TECHNOLOGY
987,HEXAMETHYLENEDIAMINE,HMDA FROM ACRYLONITRILE VIA ASCEND ELECTRO HYDRODIMERIZATION
990,HEXENE-1,HEXENE-1 BY THE LUMMUS-CB&I C4 METATHESIS PROCESS
991,HEXENE-1,HEXENE-1 FROM ETHYLENE BY THE PHILLIPS TRIMERIZATION TECHNOLOGY
992,HEXENE-1,HEXENE-1 PRODUCTION BY AXENS ALPHAHEXOL™ PROCESS
993,HEXENE-1,HEXENE-1 PRODUCTION BY ETHYLENE TRIMERIZATION PROCESS
994,HFC-134A,DICHLOROTETRAFLUOROETHANE (HFC-134A) BY HYDRODECHLORINATION OF DICHLOROTETRAFLUOROETHANE
996,HMDA AND CAPROLACTAM,HMDA AND CAPROLACTAM FROM ADN BY HYDROGENATION AND CYCLIZATION
997,HMDA AND CAPROLACTAM,"HMDA AND CAPROLACTAM FROM BUTADIENE VIA ADN BY HYDROCYANATION, HYDROGENATION AND CYCLIZATION"
998,HMDA AND CAPROLACTAM,HMDA AND CAPROLACTAM FROM BUTADIENE VIA PARTIAL HYDROGENATION OF ADN AND CYCLIZATION OF ACPN
999,"HP FILM, LIQUID CRYSTAL POLYMER","HIGH-PERFORMANCE FILM, LIQUID CRYSTAL POLYMER FROM LIQUID CRYSTAL RESIN"
1000,"HP FILM, POLYARYLATE","HIGH-PERFORMANCE FILM, POLYARYLATE FROM POLYARYLATE RESIN"
1001,"HP FILM, POLYETHERETHERKETONE","HIGH-PERFORMANCE FILM, POLYETHERETHERKETONE FROM POLYETHERETHERKETONE RESIN"
1002,"HP FILM, POLYETHERIMIDE","HIGH-PERFORMANCE FILM, POLYETHERIMIDE FROM POLYETHERIMIDE RESIN"
1003,"HP FILM, POLYETHERSULFONE","HIGH-PERFORMANCE FILM, POLYETHERSULFONE FROM POLYETHERSULFONE RESIN"
1004,"HP FILM, POLYPHENYLENE SULFIDE","HIGH-PERFORMANCE FILM, POLYPHENYLENE SULFIDE FROM POLYPHENYLENE SULFIDE RESIN"
1008,"HYDROCHLORIC ACID, ANHYDROUS","HYDROCHLORIC ACID, ANHYDROUS FROM ELECTROLYSIS OF ROCK SALT VIA MEMBRANE CELLS PROCESS"
1009,"HYDROCHLORIC ACID, ANHYDROUS","HYDROCHLORIC ACID, ANHYDROUS FROM HYDROCHLORIC ACID BOILING PROCESS"
1010,"HYDROCHLORIC ACID, ANHYDROUS","HYDROCHLORIC ACID, ANHYDROUS FROM DEHYDRATION BY CONCENTRATED SULFURIC ACID"
1011,HYDROGEN,HYDROGEN FROM VACUUM RESIDUE BY NON-CATALYTIC PARTIAL OXIDATION
1012,HYDROGEN,HYDROGEN PRODUCTION BY STEAM REFORMING OF LIGHT NAPHTHA
1013,HYDROGEN,HYDROGEN PRODUCTION BY STEAM REFORMING OF NATURAL GAS
1014,HYDROGEN,HYDROGEN VIA SINGLE-STEP SYNTHESIS
1015,HYDROGEN,"HYDROGEN, BLUE FROM BITUMINOUS COAL NO CARBON CAPTURE (UNIT MASS)"
1016,HYDROGEN,"HYDROGEN, BLUE FROM BITUMINOUS COAL WITH CARBON CAPTURE 90% (UNIT MASS)"
1017,HYDROGEN,"HYDROGEN, BLUE FROM BITUMINOUS COAL WITH CARBON CAPTURE 90% (UNIT VOLUME)"
1018,HYDROGEN,"HYDROGEN, BLUE FROM NAPHTHA WITH CARBON CAPTURE 90% (UNIT MASS)"
1019,HYDROGEN,"HYDROGEN, BLUE FROM SUBBITUMINOUS COAL WITH CARBON CAPTURE 90% (UNIT VOLUME)"
1020,HYDROGEN,"HYDROGEN, BLUE FROM SUBBITUMINOUS COAL WITH CARBON CAPTURE 90% (UNIT MASS)"
1021,HYDROGEN,"HYDROGEN, BLUE FROM SUBBITUMINOUS COAL NO CARBON CAPTURE (UNIT MASS)"
1022,HYDROGEN,"HYDROGEN, BLUE FROM NATURAL GAS WITH CARBON CAPTURE 90% (UNIT VOLUME)"
1023,HYDROGEN,HYDROGEN FROM SUBBITUMINOUS COAL VIA GE QUENCH GASIFIER (580 PSIA)
1024,HYDROGEN,"HYDROGEN, BLUE FROM NATURAL GAS WITH CARBON CAPTURE 90% (UNIT MASS)"
1025,HYDROGEN,"HYDROGEN, BLUE FROM NATURAL GAS NO CARBON CAPTURE (UNIT MASS)"
1026,HYDROGEN,"HYDROGEN, BLUE FROM NAPHTHA WITH CARBON CAPTURE 90% (UNIT VOLUME)"
1027,HYDROGEN,"HYDROGEN, BLUE FROM NAPHTHA NO CARBON CAPTURE (UNIT MASS)"
1028,HYDROGEN,HYDROGEN FROM REFINERY OFFGAS BY NON-CATALYTIC PARTIAL OXIDATION
1029,HYDROGEN,HYDROGEN BY STEAM REFORMING OF NATURAL GAS WITH 60% CO2 CAPTURE CASE 2
1030,HYDROGEN,HYDROGEN FROM NATURAL GAS BY STEAM REFORMING
1031,HYDROGEN,HYDROGEN (SMALL SCALE) BY ELECTROLYSIS
1032,HYDROGEN,HYDROGEN (SMALL SCALE) BY PARTIAL OXIDATION
1033,HYDROGEN,HYDROGEN (SMALL SCALE) BY STEAM REFORMING
1034,HYDROGEN,HYDROGEN BY ELECTROLYSIS OF WATER FROM SOLAR ENERGY (UNIT MASS)
1035,HYDROGEN,HYDROGEN BY ELECTROLYSIS OF WATER FROM SOLAR ENERGY (UNIT VOLUME)
1036,HYDROGEN,HYDROGEN BY ELECTROLYSIS OF WATER FROM WIND ENERGY (UNIT MASS)
1037,HYDROGEN,HYDROGEN BY ELECTROLYSIS OF WATER FROM WIND ENERGY (UNIT VOLUME)
1038,HYDROGEN,HYDROGEN FROM NATURAL GAS WITH CARBON CAPTURE
1039,HYDROGEN,HYDROGEN BY METHANOL DECOMPOSITION
1040,HYDROGEN,HYDROGEN BY STEAM REFORMING OF NATURAL GAS
1041,HYDROGEN,HYDROGEN BY STEAM REFORMING OF NATURAL GAS WITH 60% CO2 CAPTURE CASE 1
1042,HYDROGEN,HYDROGEN BY STEAM REFORMING OF NATURAL GAS WITHOUT CO2 CAPTURE CASE 1
1043,HYDROGEN,HYDROGEN BY STEAM REFORMING OF NATURAL GAS WITHOUT CO2 CAPTURE CASE 2
1044,HYDROGEN,HYDROGEN FROM BITUMINOUS COAL VIA GE QUENCH GASIFIER (580 PSIA)
1045,HYDROGEN,HYDROGEN FROM EBARA UBE WASTE PLASTIC GASIFICATION
1046,HYDROGEN,HYDROGEN FROM METHANOL
1047,HYDROGEN,HYDROGEN BY NONCATALYTIC PARTIAL OXIDATION OF RESIDUAL OIL
1048,HYDROGEN,HYDROGEN BY COAL GASIFICATION
1049,HYDROGEN CYANIDE,HYDROGEN CYANIDE BY THE CONVENTIONAL ANDRUSSOW PROCESS
1050,HYDROGEN CYANIDE,HYDROGEN CYANIDE FROM METHANE AND AMMONIA BY THE ANDRUSSOW PROCESS
1051,HYDROGEN CYANIDE,HYDROGEN CYANIDE BY THE DEGUSSA BMA PROCESS
1052,HYDROGEN CYANIDE,HYDROGEN CYANIDE FROM NATURAL GAS AND AMMONIA
1053,HYDROGEN FLUORIDE,HYDROGEN FLUORIDE FROM FLUORSPAR
1054,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE DIRECTLY FROM HYDROGEN AND OXYGEN
1055,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE BY LIQUID PHASE OXIDATION OF METHYL BENZYL ALCOHOL
1056,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE BY DIRECT SYNTHESIS FROM HYDROGEN AND OXYGEN
1057,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE BY CATHODIC REDUCTION OF OXYGEN
1058,HYDROGEN PEROXIDE,HYDROGEN PEROXIDE BY THE ANTHRAQUINONE PROCESS
1060,HYDROGEN-ENRICHED PURGE,HYDROGEN RECOVERY FROM AMMONIA PURGE GAS BY MEMBRANE SEPARATION TECHNOLOGY
1061,HYDROQUINONE,HYDROQUINONE FROM PHENOL USING Ti-Si CATALYST
1062,HYDROQUINONE,HYDROQUINONE FROM PROPYLENE AND BENZENE VIA P-DIISOPROPYL BENZENE
1063,HYDROQUINONE,HYDROQUINONE FROM PHENOL BY HYDROXYLATION
1065,HYDROXYLAMMONIUM SULFATE,"HYDROXYLAMMONIUM SULFATE FROM NH3, O2, H2, AND H2SO4 BY CATALYTIC REDUCTION"
1066,HYDROXYPROPYL METHYL CELLULOSE,HYDROXYPROPYL METHYL CELLULOSE FROM CELLULOSE
1067,INERT GAS,INERT GAS FROM PRESSURE SWING ADSORPTION PROCESS
1068,INERT GAS,INERT GAS FROM MEMBRANE PROCESS
1070,"ION-EXCHANGE(ANION), STR-BASE1","ION-EXCHANGE RESIN(ANION), GEL-TYPE (4% DVB), STRONG-BASE (TYPE I) PROCESS"
1071,"ION-EXCHANGE(ANION), STR-BASE2","ION-EXCHANGE RESIN(ANION), GEL-TYPE (4% DVB), STRONG-BASE (TYPE II) PROCESS"
1072,"ION-EXCHANGE(ANION), WEAK-BASE","ION-EXCHANGE RESIN(ANION), MACROPOROUS (8% DVB), WEAK-BASE PROCESS"
1073,"ION-EXCHANGE(CATION), STR-ACID","ION EXCHANGE RESIN(CATION), GEL-TYPE (8% DVB) STRONG ACID PROCESS"
1074,"ION-EXCHANGE(CATION), WEAK-ACID","ION-EXCHANGE RESIN(CATION), WEAK-ACID, ACRYLATE-BASED PROCESS"
1075,IONIC LIQUID,PRODUCTION OF HYDROPHOBIC [bmim][PF6] IONIC LIQUID
1076,IONIC LIQUID,PRODUCTION OF WATER MISCIBLE [bmim][OCTYLSULFATE] IONIC LIQUID
1077,IONIC LIQUID,PRODUCTION OF WATER SENSITIVE [bmim]Cl/AlCl3 IONIC LIQUID
1078,IONIC LIQUID,PRODUCTION OF WATER-SENSITIVE [(CH3)3NH]CL/ALCL3 IONIC LIQUID
1080,IRGANOX(R) 1010,IRGANOX(R) 1010 (A HIGH MOLECULAR WEIGHT ANTIOXIDANT)
1081,IRGANOX(R) 1076,IRGANOX(R) 1076 (A HIGH MOLECULAR WEIGHT ANTIOXIDANT)
1082,ISOBUTANE,ISOBUTANE FROM N-BUTANE BY ISOMERIZATION
1083,ISOBUTANE,N-BUTANE SKELETAL ISOMERIZATION PROCESS
1084,ISOBUTANOL,ISOBUTANOL FROM CORN DRY MILL
1085,ISOBUTYLBENZENE,ISOBUTYLBENZENE PRODUCTION PROCESS
1086,ISOBUTYLENE,ISOBUTYLENE FROM ISOBUTANE BY THE OLEFLEX DEHYDROGENATION PROCESS
1087,ISOBUTYLENE (100%),ISOBUTYLENE FROM ISOBUTANE BY THE SNAMPROGETTI/YARSINTEZ PROCESS
1088,"ISOBUTYLENE, HIGH PURITY",ISOBUTYLENE OF HIGH PURITY BY PHENOL ALKYLATION
1089,"ISOBUTYLENE, HIGH PURITY","ISOBUTYLENE, HIGH PURITY, BY CATALYTIC DEHYDRATION OF TERTIARY-BUTYL ALCOHOL"
1090,"ISOBUTYLENE, HIGH PURITY",HIGH PURITY ISOBUTYLENE FROM MTBE CRACKING
1091,"ISOBUTYLENE, HIGH PURITY",HIGH-PURITY ISOBUTYLENE PRODUCTION BY MTBE CRACKING
1092,"ISOBUTYLENE, HIGH PURITY",HIGH-PURITY ISOBUTYLENE FROM T-BUTANOL BY LYONDELLBASELL PROCESS
1093,"ISOBUTYLENE, HIGH PURITY",ISOBUTYLENE OF HIGH PURITY BY ACID EXTRACTION
1094,ISODECANOL,ISODECANOL FROM NONENES VIA EXXON PROCESS
1095,ISODECANOL,"ISODECANOL FROM NONENES, COBALT CATALYST"
1096,ISODECYL DIPHENYL PHOSPHATE,ISODECYL DIPHENYL PHOSPHATE FLAME RETARDANT ADDITIVE FOR PLASTICS
1097,ISONONYL ALCOHOL,"ISONONYL ALCOHOL FROM OCTENES, RHODIUM CATALYST"
1098,ISONONYL ALCOHOL,ISONONYL ALCOHOL FROM ISO-OCTENE BY HYDROFORMYLATION AND HYDROGENATION
1099,ISONONYL ALCOHOL,ISONONYL ALCOHOL BY THE EXXON PROCESS
1100,ISOOCTANE,ISOOCTANE BY NExOCTANE PROCESS
1101,ISOOCTANE,C4 DIMERIZATION PROCESS BY SAIPEM
1103,ISOPHORONE DIISOCYANATE,ISOPHORONE DIISOCYANATE BY A NONPHOSEGANATION PROCESS
1104,ISOPHORONE DIISOCYANATE,ISOPHORONE DIISOCYANATE (IPDI) FROM ISOPHORONE BY NON-PHOSGENATION
1105,ISOPHORONE DIISOCYANATE,ISOPHORONE DIISOCYANATE (IPDI) FROM ISOPHORONE
1106,ISOPHORONE DIISOCYANATE,ISOPHORONE DIISOCYANATE BY A PHOSEGANATION PROCESS
1107,ISOPHTHALIC ACID,ISOPHTHALIC ACID FROM M-XYLENE BY BROMINE-PROMOTED CATALYTIC AIR OXIDATION
1108,ISOPHTHALONITRILE,ISOPHTHALONITRILE (IPN) BY AMMOXIDATION OF M-XYLENE
1109,ISOPHTHALOYL CHLORIDE,ISOPHTHALOYL CHLORIDE FROM M-XYLENE
1110,ISOPRENE,BIO-BASED ISOPRENE
1111,ISOPRENE,ISOPRENE SEPARATION FROM PYGAS C5 CUT BY SOLVENT EXTRACTION
1112,ISOPRENE,ISOPRENE VIA KURARAY ONE-STEP PROCESS
1113,ISOPRENE,ISOPRENE FROM ACETONE AND ACETYLENE
1114,ISOPRENE,ISOPRENE FROM A C5 FRACTION BY DMF EXTRACTIVE DISTILLATION
1115,ISOPRENE,ISOPRENE BY DEHYDROGENATION OF ISOPENTANE
1116,ISOPRENE,ISOPRENE FROM AMYLENES
1117,ISOPRENE,ISOPRENE FROM ISOBUTYL.ENE AND FORMALDEHYDE (TWO STEP PROCESS)
1118,ISOPRENE,ISOPRENE FROM C5 STREAMS BY DISTILLATION
1119,ISOPROPANOL,"ISOPROPANOL FROM CHEMICAL PROPYLENE, CATION EXCHANGE RESIN CATALYST"
1120,ISOPROPANOL,ISOPROPANOL DEHYDRATION TO ACETONE IN PHENOL MANUFACTURE
1121,ISOPROPANOL,ACETONE HYDROGENATION TO IPA IN PHENOL MANUFACTURE
1122,ISOPROPANOL,"ISOPROPANOL FROM REFINERY PROPYLENE, SILICOTUNGSTATE CATALYST"
1123,ISOPROPANOL,"ISOPROPANOL FROM CHEMICAL PROPYLENE, SILICOTUNGSTATE CATALYST"
1124,ISOPROPANOLAMINES,ISOPROPANOLAMINES FROM PROPYLENE OXIDE AND AMMONIA (NH3:PO=20:1)
1125,ISOPROPANOLAMINES,ISOPROPANOLAMINES FROM PROPYLENE OXIDE AND AMMONIA (NH3:PO=5:1)
1127,ISOPROPYL CHLORIDE,ISOPROPYL CHLORIDE FROM PROPYLENE AND HYDROGEN CHLORIDE
1129,KEROSENE,"KEROSENE, MIDDLE DISTILLATE FROM VACUUM GAS OIL BY HYDROCRACKING"
1130,KEROSENE,KEROSENE FROM CRUDE DISTILLATION UNIT
1131,"KEROSENE, JET FUEL","KEROSENE, JET FUEL FROM VACUUM RESID BY HYDROCRACKING OF RESIDUE FLUID"
1132,L-ASPARTIC ACID,L-ASPARTIC ACID PRODUCTION (CONVENTIONAL PROCESS)
1133,L-ASPARTIC ACID,L-ASPARTIC ACID PRODUCTION USING DUAL-BIOCATALYSTS
1134,L-LYSINE,L-LYSINE MONOHYDROCHLORIDE MONOHYDRATE FROM GLUCOSE BY FERMENTATION WITH RECOVERY BY ION-EXCHANGE
1135,L-LYSINE,L-LYSINE SULFATE FROM GLUCOSE BY FERMENTATION
1136,L-LYSINE,L-LYSINE MONOHYDROCHLORIDE MONOHYDRATE FROM MOLASSES BY FERMENTATION
1137,L-THREONINE,L-THREONINE PRODUCTION BY FERMENTATION AND RECOVERY BY ION EXCHANGE
1138,LACTIC ACID (88%),"L-LACTIC ACID,POLYMER GRADE BY THE FERMENTATION OF GLUCOSE"
1139,LACTIC ACID (88%),LACTIC ACID BY pH 6 FERMENTATION
1140,LACTIC ACID (88%),LACTIC ACID FROM CORN STOVER
1141,LACTIC ACID (88%),LACTIC ACID FROM CORN STOVER BIOREFINERY
1142,LACTIC ACID (88%),LACTIC ACID PRODUCTION BY CARGILL’S PROCESS WITH YEAST FERMENTATION
1143,LACTIC ACID (88%),LACTIC ACID RECOVERY BY EXTRACTION
1144,LACTIC ACID (88%),LACTIC ACID SYNTHESIS BY FERMENTATION AND RECOVERY VIA EXTRACTION
1145,LDPE AND PA-6 GRANULES,RECYCLING OF POST-INDUSTRIAL PE/PA-6 MULTI-LAYER FILM WASTE BY A SELECTIVE SOLVENT DISSOLUTION-PRECIPITATION
1148,"LIGHT OIL, CRUDE",COAL TAR FRACTIONATION
1149,LIGHT OLEFINS,LIGHT OLEFINS PRODUCTION FROM SYNGAS BY SARI PROCESS
1150,LIGHT OLEFINS,LIGHT OLEFINS PRODUCTION FROM SYNGAS BY OX-ZEO PROCESS
1151,LIGHT OLEFINS,LIGHT OLEFINS PRODUCTION FROM COAL BY SARI PROCESS
1152,LIGHT OLEFINS,LIGHT OLEFINS PRODUCTION FROM COAL BY OX-ZEO PROCESS
1153,LIGHT OLEFINS,COAL TO OLEFINS PROCESS
1154,LIGHT OLEFINS,METHANOL TO OLEFINS BY THE UOP/HYDRO PROCESS
1160,LINEAR ALKYLBENZENE,LINEAR ALKYLBENZENE BY HETEROGENEOUS CATALYSIS UPDATE
1161,LINEAR ALKYLBENZENE,LINEAR ALKYLBENZENE USING HF CATALYST
1162,LINEAR ALKYLBENZENE,LINEAR ALKYLBENZENE BY HETEROGENEOUS CATALYSIS
1163,LINEAR ALKYLBENZENE SULFONATE,LINEAR ALKYLBENZENE SULFONATES BY SULFUR TRIOXIDE/AIR SULFONATION
1164,LIPASE,LIPASE PRODUCTION USING PSEUDOMONAS ALCALIGENES
1165,LIQUEFIED NATURAL GAS,LNG BY DUAL METHANE EXPANDER LIQUEFACTION
1166,LIQUEFIED NATURAL GAS,SMALL SCALE FLOATING LNG
1167,LIQUEFIED NATURAL GAS,LNG PRODUCTION BY SINGLE MIXED REFRIGERATION CYCLE
1168,LIQUEFIED NATURAL GAS,LNG PRODUCTION BY METHANE EXPANDER PROCESS
1169,LIQUEFIED NATURAL GAS,LIQUIFIED NATURAL GAS BY CASCADE REFRIGERATION
1170,LIQUEFIED NATURAL GAS,LNG PRODUCTION BY DUAL MIXED REFRIGERATION PROCESS
1171,LIQUEFIED NATURAL GAS,LNG PRODUCTION BY CASCADE REFRIGERATION PROCESS
1172,LIQUEFIED NATURAL GAS,LNG PRODUCTION BY C3MR REFRIGERATION PROCESS
1173,LIQUEFIED NATURAL GAS,LIQUIFIED NATURAL GAS (LNG) REGASIFICATION
1174,LIQUEFIED NATURAL GAS,LIQUEFIED NATURAL GAS BY TRIPLE MIXED REFRIGERANT PROCESS
1175,LIQUEFIED NATURAL GAS,LIQUEFIED NATURAL GAS BY SMR REFRIGERATION CYCLE
1176,LIQUEFIED NATURAL GAS,LIQUEFIED NATURAL GAS BY NITROGEN REFRIGERATION CYCLE
1177,LIQUEFIED NATURAL GAS,LIQUEFIED NATURAL GAS BY DMR REFRIGERATION CYCLE
1178,LIQUEFIED NATURAL GAS,LIQUEFIED NATURAL GAS BY CASCADE REFRIGERATION CYCLE
1179,LIQUEFIED NATURAL GAS,LIQUEFIED NATURAL GAS BY C3MR REFRIGERATION CYCLE
1180,LIQUEFIED NATURAL GAS,LNG PRODUCTION BY DUAL NITROGEN EXPANDER PROCESS
1181,"LIQUID CRYSTAL POLYMER, FILLED","LIQUID CRYSTAL POLYMER FROM P-HBA, TEREPHTHALIC ACID, AND 4,4-DHDP, FILLED"
1182,"LIQUID CRYSTAL POLYMER, GF","LIQUID CRYSTAL POLYMER FROM P-HBA AND 6-HYDROXY-2-NAPHTHOIC ACID, GLASS-FILLED"
